Timestamp,X,Y
1775759814805,962,548
1775759814825,949,550
1775759814846,923,547
1775759814867,886,539
1775759814888,804,516
1775759814908,711,483
1775759814930,632,458
1775759814950,591,447
1775759814971,568,440
1775759814992,561,438
1775759815179,560,437
1775759815201,560,429
1775759815221,576,392
1775759815242,654,297
1775759815262,853,135
1775759815283,998,52
1775759815304,1117,14
1775759815324,1191,9
1775759815346,1219,12
1775759815367,1230,17
1775759815504,1231,17
1775759815524,1239,18
1775759815544,1268,25
1775759815565,1416,90
1775759815585,1592,171
1775759815606,1803,248
1775759815626,1880,251
1775759815799,1880,250
1775759815819,1886,244
1775759815840,1902,227
1775759815860,1919,196
1775759815881,1919,145
1775759815902,1919,116
1775759815922,1919,97
1775759816544,1918,97
1775759816564,1915,100
1775759816584,1911,105
1775759816605,1901,114
1775759816625,1889,124
1775759816646,1879,133
1775759816666,1869,139
1775759816686,1855,144
1775759816707,1832,154
1775759816730,1804,166
1775759816749,1787,173
1775759816770,1782,175
1775759816790,1782,173
1775759816811,1796,158
1775759816832,1835,126
1775759816853,1877,100
1775759816873,1912,82
1775759816894,1919,78
1775759816918,1919,80
1775759816939,1917,87
1775759816960,1911,93
1775759816980,1906,101
1775759817000,1904,105
1775759817021,1904,105
1775759817069,1903,105
1775759817099,1902,106
1775759817116,1901,107
1775759817131,1897,108
1775759817151,1893,110
1775759817172,1889,113
1775759817304,1888,113
1775759817338,1887,113
1775759817359,1887,113
1775759817385,1886,113
1775759817576,1886,113
1775759817597,1871,124
1775759817617,1833,146
1775759817638,1668,241
1775759817658,1293,435
1775759817678,922,590
1775759817700,712,657
1775759817721,669,668
1775759817741,664,663
1775759817762,693,635
1775759817783,788,566
1775759817805,858,529
1775759817824,881,527
1775759817845,877,544
1775759817866,848,570
1775759817887,793,607
1775759817909,721,650
1775759817929,674,670
1775759817950,648,675
1775759817971,639,672
1775759817992,637,660
1775759818012,642,639
1775759818033,647,624
1775759818215,647,622
1775759818236,632,624
1775759818256,586,622
1775759818276,436,591
1775759818297,202,509
1775759818317,16,411
1775759818516,10,323
1775759818536,74,328
1775759818556,130,324
1775759818576,153,320
1775759818597,155,319
1775759818617,146,314
1775759818639,123,305
1775759818659,94,286
1775759818679,79,268
1775759818700,76,252
1775759818720,81,240
1775759818741,95,232
1775759818762,114,229
1775759818783,126,229
1775759818804,134,233
1775759818824,141,235
1775759818845,147,236
1775759818866,158,235
1775759818887,170,238
1775759818908,177,242
1775759818929,182,244
1775759818945,182,243
