Timestamp,X,Y
1775762048685,942,545
1775762048704,942,538
1775762048725,945,524
1775762048746,950,507
1775762048766,954,489
1775762048786,959,472
1775762048807,963,456
1775762048827,967,443
1775762048848,971,432
1775762048869,975,422
1775762048889,977,416
1775762048909,979,410
1775762049140,979,410
1775762049161,984,400
1775762049181,999,378
1775762049201,1023,352
1775762049222,1074,313
1775762049242,1119,289
1775762049263,1162,273
1775762049284,1193,262
1775762049304,1215,256
1775762049326,1229,252
1775762049346,1234,251
1775762049550,1235,250
1775762049570,1250,243
1775762049592,1282,227
1775762049612,1349,204
1775762049632,1450,179
1775762049652,1579,154
1775762049673,1656,141
1775762049694,1697,136
1775762049714,1718,136
1775762049959,1718,136
1775762049979,1724,132
1775762049999,1738,125
1775762050020,1759,117
1775762050040,1781,111
1775762050061,1800,108
1775762050082,1816,106
1775762050102,1830,106
1775762050123,1838,105
1775762050144,1845,105
1775762050165,1851,105
1775762050186,1856,106
1775762050207,1861,107
1775762050227,1863,108
1775762050248,1866,108
1775762050270,1869,110
1775762050290,1872,111
1775762050311,1874,113
1775762050332,1875,113
1775762050361,1875,113
1775762050394,1876,113
1775762050415,1879,113
1775762050437,1883,113
1775762050457,1887,111
1775762050478,1891,111
1775762050498,1894,113
1775762050519,1896,113
1775762050540,1898,113
1775762050573,1898,113
1775762051042,1898,113
1775762051062,1896,113
1775762051082,1887,111
1775762051103,1861,111
1775762051124,1809,109
1775762051145,1745,108
1775762051165,1681,109
1775762051185,1627,110
1775762051206,1588,113
1775762051228,1554,114
1775762051248,1532,115
1775762051269,1521,115
1775762051290,1515,114
1775762051486,1512,113
1775762051505,1501,114
1775762051527,1478,117
1775762051547,1446,122
1775762051568,1405,125
1775762051589,1363,128
1775762051609,1326,132
1775762051630,1298,133
1775762051651,1278,131
1775762051671,1269,130
1775762051692,1264,128
1775762051858,1264,127
1775762051878,1259,124
1775762051899,1251,118
1775762051919,1234,108
1775762051939,1216,95
1775762051960,1203,86
1775762051981,1192,78
1775762052002,1185,74
1775762052021,1182,72
1775762052046,1181,72
1775762052062,1181,72
1775762052260,1181,71
1775762052294,1179,69
1775762052329,1178,68
1775762052345,1178,68
1775762052362,1178,66
1775762052397,1178,66
1775762057932,1177,66
1775762057954,1162,66
1775762057972,1142,68
1775762057993,1116,72
1775762058013,1088,80
1775762058035,1056,92
1775762058055,1018,109
1775762058075,991,122
1775762058096,960,133
1775762058116,929,148
1775762058136,901,160
1775762058157,878,169
1775762058178,865,173
1775762058199,856,175
1775762058481,852,175
1775762058501,835,182
1775762058522,811,195
1775762058542,778,206
1775762058563,745,216
1775762058584,706,227
1775762058604,658,242
1775762058624,621,257
1775762058645,596,265
1775762058666,575,270
1775762058897,575,270
1775762058918,569,275
1775762058938,556,282
1775762058959,536,289
1775762058979,513,295
1775762059000,487,302
1775762059020,463,306
1775762059041,437,309
1775762059061,414,310
1775762059081,395,310
1775762059103,377,310
1775762059123,365,307
1775762059143,355,306
1775762059164,346,305
1775762059184,338,303
1775762059205,332,301
1775762059227,327,300
1775762059246,324,298
1775762059268,322,298
1775762059288,320,298
1775762059314,318,298
1775762059334,315,298
1775762059354,310,300
1775762059375,302,303
1775762059395,295,305
1775762059416,289,306
1775762059436,285,309
1775762059457,282,310
1775762059478,281,311
1775762062051,282,311
1775762062072,289,311
1775762062094,315,310
1775762062114,365,314
1775762062135,432,329
1775762062156,498,354
1775762062177,538,371
1775762062198,570,387
1775762062219,594,408
1775762062240,610,434
1775762063324,619,458
1775762063344,626,459
1775762063365,641,461
1775762063385,674,464
1775762063406,720,473
1775762063427,773,488
1775762063447,802,499
1775762063468,825,509
1775762063489,841,519
1775762063510,850,527
1775762063531,854,530
1775762064737,854,532
1775762064757,853,534
1775762064777,852,538
1775762064797,848,545
1775762064817,840,552
1775762064838,832,561
1775762064858,823,570
1775762064879,813,580
1775762064900,804,587
1775762064920,796,592
1775762064941,790,597
1775762064961,785,601
1775762064981,782,604
1775762065016,782,604
1775762065084,782,605
1775762065139,783,605
1775762065173,783,604
1775762065193,786,603
1775762065213,792,598
1775762065234,800,592
1775762065254,806,588
1775762065274,809,586
1775762065295,811,583
1775762065357,812,583
1775762065507,812,583
1775762065548,812,582
1775762065596,812,582
1775762074066,813,582
1775762074086,818,586
1775762074107,828,593
1775762074127,839,606
1775762074149,848,615
1775762074168,855,622
1775762074190,859,625
1775762074210,861,627
1775762074230,863,628
1775762074265,865,631
1775762074285,866,631
1775762074455,866,631
1775762075056,866,631
1775762075076,866,628
1775762075096,866,624
1775762075116,867,617
1775762075137,871,603
1775762075158,877,584
1775762075178,885,566
1775762075198,892,553
1775762075219,896,544
1775762075239,897,541
1775762075258,898,541
1775762078410,897,541
1775762078431,895,541
1775762078465,893,539
1775762078485,891,536
1775762078506,888,526
1775762078528,884,509
1775762078550,876,488
1775762078569,865,463
1775762078591,850,441
1775762078612,835,422
1775762078632,815,407
1775762078652,798,396
1775762078674,785,390
1775762078695,773,384
1775762078715,764,380
1775762078737,760,377
1775762079113,759,376
1775762079133,752,375
1775762079154,731,375
1775762079174,703,376
1775762079196,663,380
1775762079215,621,386
1775762079236,570,400
1775762079257,519,414
1775762079278,485,426
1775762079299,467,432
1775762079319,452,435
1775762079340,446,435
1775762079651,444,436
1775762079671,437,436
1775762079692,428,436
1775762079712,421,434
1775762079732,410,431
1775762079753,402,428
1775762079774,394,421
1775762079794,385,412
1775762079814,377,403
1775762079834,368,395
1775762079855,358,389
1775762079877,351,384
1775762079897,348,382
1775762079917,346,382
1775762080186,346,381
1775762080208,345,380
1775762080229,343,376
1775762080250,339,372
1775762080271,335,365
1775762080291,329,358
1775762080312,324,352
1775762080333,318,348
1775762080354,314,343
1775762080375,312,341
1775762080395,310,339
1775762080417,309,338
1775762080445,307,336
1775762080465,306,334
1775762080489,305,332
1775762080508,302,329
1775762080527,297,325
1775762080548,292,320
1775762080569,287,314
1775762080592,281,310
1775762080612,274,305
1775762080632,269,302
1775762080652,266,300
1775762080676,265,298
1775762080725,264,298
1775762080745,264,298
1775762080763,264,298
1775762080784,261,297
1775762080805,257,296
1775762080826,255,295
1775762080847,253,295
1775762080895,251,295
1775762080971,251,295
1775762081663,251,294
1775762081683,264,292
1775762081704,297,289
1775762081723,347,292
1775762081745,424,303
1775762081765,488,318
1775762081785,533,333
1775762081806,565,362
1775762082947,568,359
1775762082967,582,350
1775762082987,598,342
1775762083008,617,338
1775762083028,639,338
1775762083049,663,340
1775762083070,679,345
1775762083090,689,350
1775762083111,696,357
1775762083131,703,366
1775762083152,705,371
1775762083173,706,377
1775762083551,707,377
1775762083572,716,371
1775762083592,735,358
1775762083613,765,342
1775762083633,796,328
1775762083653,825,316
1775762083674,845,307
1775762083694,865,301
1775762083715,879,297
1775762083736,885,295
1775762084631,888,295
1775762084652,893,296
1775762084672,907,304
1775762084694,926,321
1775762084714,945,341
1775762084735,960,363
1775762084756,972,382
1775762084778,983,399
1775762084797,992,413
1775762084819,999,428
1775762084841,1003,437
1775762085079,1003,439
1775762085099,1011,439
1775762085120,1032,438
1775762085141,1064,437
1775762085161,1111,437
1775762085181,1176,437
1775762085202,1244,431
1775762085222,1294,423
1775762085242,1319,417
1775762085263,1329,413
1775762085717,1332,411
1775762085738,1341,407
1775762085757,1356,401
1775762085778,1373,392
1775762085798,1394,382
1775762085818,1414,373
1775762085839,1435,364
1775762085860,1453,358
1775762085880,1467,355
1775762085901,1483,350
1775762085923,1498,346
1775762085943,1510,341
1775762085964,1516,336
1775762085984,1518,334
1775762086085,1518,334
1775762086104,1518,334
1775762086124,1519,338
1775762086139,1518,342
1775762086160,1515,352
1775762086179,1511,363
1775762086200,1507,372
1775762086221,1504,377
1775762086242,1503,378
1775762086310,1502,380
1775762086398,1502,380
1775762086447,1502,380
1775762086481,1502,380
1775762086515,1501,380
1775762086549,1499,380
1775762087582,1497,381
1775762087602,1491,387
1775762087623,1484,398
1775762087645,1472,413
1775762087666,1461,430
1775762087686,1447,452
1775762087707,1436,473
1775762087728,1427,491
1775762087748,1416,505
1775762087769,1408,515
1775762087790,1404,519
1775762088428,1403,519
1775762088490,1403,520
1775762088509,1414,515
1775762088529,1438,505
1775762088550,1471,491
1775762088570,1510,477
1775762088591,1548,464
1775762088611,1576,454
1775762088631,1600,446
1775762088653,1614,441
1775762088877,1619,441
1775762088897,1624,434
1775762088917,1635,417
1775762088938,1656,384
1775762088958,1679,354
1775762088979,1697,334
1775762088999,1713,320
1775762089020,1724,311
1775762089040,1732,306
1775762089062,1738,304
1775762089081,1744,301
1775762089103,1750,300
1775762089123,1755,297
1775762089145,1761,295
1775762089166,1767,291
1775762089187,1773,285
1775762089207,1778,282
1775762089229,1783,278
1775762089461,1784,278
1775762089480,1788,271
1775762089504,1801,258
1775762089523,1819,240
1775762089544,1836,222
1775762089563,1850,208
1775762089585,1861,200
1775762089604,1869,193
1775762089624,1876,188
1775762089645,1881,182
1775762089665,1885,176
1775762089686,1888,171
1775762089706,1889,169
1775762089739,1890,167
1775762089788,1891,166
1775762089856,1891,166
1775762089876,1891,166
1775762089904,1893,166
1775762089924,1893,166
1775762089943,1894,167
1775762089977,1896,167
1775762089998,1896,168
1775762090019,1897,168
1775762090046,1897,168
1775762090095,1899,169
1775762090128,1899,169
1775762090210,1899,170
1775762090264,1899,170
1775762090299,1901,170
1775762090326,1902,170
1775762090347,1903,170
1775762090367,1904,169
1775762090388,1906,169
1775762090422,1908,169
1775762090442,1909,169
1775762090470,1909,169
1775762090504,1909,169
1775762090538,1910,169
1775762090593,1910,169
1775762091357,1910,169
1775762091376,1911,171
1775762091397,1912,176
1775762091417,1913,185
1775762091438,1914,198
1775762091458,1915,215
1775762091479,1916,231
1775762091499,1917,249
1775762091519,1917,267
1775762091541,1917,284
1775762091561,1917,295
1775762091581,1917,303
1775762091602,1916,306
1775762091643,1915,307
1775762092032,1913,309
1775762092053,1902,314
1775762092075,1885,323
1775762092096,1861,336
1775762092115,1825,354
1775762092137,1777,377
1775762092157,1749,390
1775762092179,1733,396
1775762092199,1725,400
1775762092943,1724,400
1775762092963,1714,407
1775762092984,1690,423
1775762093005,1661,443
1775762093026,1621,467
1775762093046,1553,519
1775762093067,1495,566
1775762093088,1464,597
1775762093109,1435,618
1775762093129,1417,630
1775762093150,1409,634
1775762097188,1399,635
1775762097208,1386,634
1775762097228,1368,631
1775762097249,1347,624
1775762097269,1322,614
1775762097290,1297,605
1775762097310,1269,596
1775762097331,1247,589
1775762097351,1224,582
1775762097372,1205,574
1775762097393,1192,569
1775762097414,1186,565
1775762097630,1183,564
1775762097650,1174,563
1775762097671,1151,560
1775762097692,1107,551
1775762097712,1055,537
1775762097733,1007,520
1775762097753,969,505
1775762097775,942,493
1775762097796,923,487
1775762097816,916,484
1775762098019,914,484
1775762098040,903,489
1775762098060,874,499
1775762098080,822,515
1775762098101,719,542
1775762098122,650,562
1775762098143,599,582
1775762098164,570,593
1775762098184,555,599
1775762098398,549,601
1775762098418,531,610
1775762098439,502,617
1775762098460,452,621
1775762098480,397,621
1775762098500,362,619
1775762098520,345,619
1775762098541,337,619
1775762098929,335,619
1775762098949,330,617
1775762098970,324,596
1775762098990,320,535
1775762099011,318,437
1775762099031,318,337
1775762099052,324,243
1775762099073,333,189
1775762099094,339,160
1775762099115,343,145
1775762099135,343,141
1775762099305,343,139
1775762099325,336,130
1775762099346,325,111
1775762099366,310,79
1775762099387,294,45
1775762099407,285,23
1775762099427,281,12
1775762099448,279,9
1775762099469,279,9
1775762099626,279,9
1775762099642,279,9
1775762099662,281,11
1775762099684,283,14
1775762099704,284,15
1775762099725,286,18
1775762099748,287,19
1775762099783,289,20
1775762099803,289,21
1775762099823,290,21
1775762099864,291,23
1775762099898,291,23
1775762102680,291,24
1775762102699,293,45
1775762102720,296,74
1775762102740,301,102
1775762102762,304,131
1775762102782,308,178
1775762102802,311,242
1775762102823,313,296
1775762102844,313,320
1775762102865,311,333
1775762102885,310,339
1775762102906,309,342
1775762102958,309,343
1775762103034,309,343
1775762103052,308,342
1775762103072,306,340
1775762103093,305,336
1775762103114,304,331
1775762103136,302,324
1775762103156,301,321
1775762103177,299,319
1775762103204,299,318
1775762103232,298,315
1775762103252,297,314
1775762103273,297,313
1775762103293,296,312
1775762103320,295,311
1775762103375,295,311
1775762104057,295,310
1775762104079,303,310
1775762104099,321,306
1775762104120,352,303
1775762104142,397,302
1775762104162,444,311
1775762104183,504,329
1775762104204,544,343
1775762104224,566,352
1775762104246,582,360
1775762104267,591,367
1775762104689,591,375
1775762104711,597,372
1775762104732,612,365
1775762104752,637,355
1775762104773,677,337
1775762104794,706,327
1775762104815,735,322
1775762104836,761,321
1775762104856,784,323
1775762104878,800,325
1775762104898,811,329
1775762104919,817,330
1775762105382,824,331
1775762105402,838,333
1775762105423,869,336
1775762105443,912,341
1775762105463,956,355
1775762105484,983,371
1775762105505,997,386
1775762105524,1003,395
1775762105545,1005,403
1775762105565,1005,409
1775762105976,1005,412
1775762105996,1011,413
1775762106017,1021,413
1775762106037,1035,413
1775762106059,1049,413
1775762106079,1068,410
1775762106100,1084,405
1775762106120,1096,402
1775762106140,1104,400
1775762106162,1106,399
1775762106201,1106,399
1775762106524,1106,399
1775762106545,1104,395
1775762106565,1096,383
1775762106586,1083,356
1775762106606,1068,319
1775762106627,1051,273
1775762106648,1038,235
1775762106669,1026,206
1775762106689,1014,182
1775762106711,1006,163
1775762106731,999,151
1775762106752,994,144
1775762106773,990,141
1775762106794,987,139
1775762106815,985,137
1775762106835,983,136
1775762106856,979,136
1775762106877,973,134
1775762106898,968,133
1775762106919,963,132
1775762106941,961,132
1775762106960,960,131
1775762106994,960,131
1775762107035,959,131
1775762107063,959,130
1775762107137,959,130
1775762107158,959,130
1775762107186,957,127
1775762107206,957,126
1775762107224,956,125
1775762107245,954,124
1775762107267,952,122
1775762107295,951,121
1775762107335,951,121
1775762109788,950,119
1775762109809,950,114
1775762109830,948,110
1775762109850,946,102
1775762112412,945,102
1775762112432,939,109
1775762112453,931,116
1775762112473,921,124
1775762112494,905,135
1775762112515,885,149
1775762112536,866,160
1775762112557,849,169
1775762112578,838,176
1775762112598,828,182
1775762112619,819,187
1775762112640,814,188
1775762112661,812,189
1775762112682,810,189
1775762112704,808,189
1775762112724,807,189
1775762112759,806,188
1775762112781,806,188
1775762112800,806,187
1775762112820,804,186
1775762112841,801,185
1775762112862,798,184
1775762112883,795,182
1775762112904,792,180
1775762112925,789,179
1775762112949,788,178
1775762112983,787,177
1775762113001,786,176
1775762113017,785,175
1775762113037,783,172
1775762113058,781,170
1775762113079,778,169
1775762113099,776,168
1775762113126,774,167
1775762113181,773,166
1775762115089,773,166
1775762115109,770,168
1775762115129,761,175
1775762115150,744,187
1775762115170,721,211
1775762115191,696,238
1775762115212,673,262
1775762115231,650,285
1775762115253,631,302
1775762115273,619,313
1775762115293,613,320
1775762115313,607,327
1775762115725,606,327
1775762115746,599,331
